dbp2-damid,dbp4-damid
ACRWB1,ACRNNT
ACRWBT,ACRTNT
APDAS2,APDASV
ARBAS1,ARBASV
ARZVDV,ARBVDV
AVAIBT,AVAANT
BNGBBS,BENBBS
BNGCLV,BENCLV
BNGRBV,BENRBV
BNGWTC,BENWTC
CCESBM,CCEFUL
CHNSBV,CMNSBV
CHNUN1,CMNUN1
CHNUNV,CMNUNV
CKWNVS,CAKK96
CNLTBL,CNLTBI
CNMRGB,CACRGB
CTUBSM,CTUBLI
DGABSG,DGANEW
DNWLAI,DNWOWM
ERVWTC,KANWTC
EWEBSG,EWEB11
EWOABC,EWOEWO
FFMTBL,FFMWBT
FIN38V,FIN38CB
GRKSFT,ELLELL
GUGRPV,GUGPBS
GURIBS,GURF08
HNDWTC,HINWTC
HUNRNT,HUNHUN
ILORPV,ILONGN
INZNTV,INDNTV
INZSHL,INDSHL
INZTSI,INDWBT
JAISBG,JACSBG
KHKMUB,KHKNTP
KMHBSC,KHMBSC
KMHKOV,KHMKOV
KNFWYI,KNFWBT
KPGKTC,KPGKPT
KRINVS,KRIBSL
KRLIBT,KRLNEW
KRUFMP,KRUDEV
KZJAKK,DTPAKK
LASABT,LAMABT
LGGBSU,LGGFUL
LTNNVV,LATNV1
MAHWGM,MAHNKRM
MCQTBL,MCQSPP
MGOWYI,MGOMGO
MHMCAT,MOSCAT
MJSWTC,MALNIB
MYAOJV,MYABJB
NZIBSG,NZINEW
OJBCBS,CJBCBS
PAUUBS,PAUPAL
PBBWBT,PBBDYU
PESEMV,PESNMV
POBWYI,POBWBT
PORARA,PORBAR
PORARC,PORPAR
PORBSP,PORB09
PORNLH,PORTLH
QUHRBV,QUHQUE
QUJPMC,QUCPMC
RAWRBC,RAWBIB
RIMBST,RIMKNT
SHNTBS,SHNSHN
SPNBDA,SPABDA
SPNDHH,SPADHH
SPNERV,SPAERV
SPNPDT,SPAPDT
SPNR60,SPAR60
SPNR95,SPAR95
SPNRVC,SPARVC
SPNWTC,SPAWTC
SUACLV,SUKCLV
TCWWTC,TELWTC
TIRUBS,TIRTBI
TOHSBM,TOI996
TONRWT,TONBAX
TSZBSM,TSZPNT
TTRIBT,TATIBT
TZBSBM,TZHBSM
TZCSBM,TZOCHM
UZBIBT,UZNIBT
VIEVOV,VIEO98
YORUBS,YORYOR
ZCAWYI,ZCAWBT
ZNEBSS,ZNEZNE
